"id","code","name","active"
"hr_profession_1311_10","1311 10","Pamatdarbības struktūrvienības VADĪTĀJA VIETNIEKS/ DIREKTORA VIETNIEKS (mežsaimniecības jomā)",0
"hr_profession_1311_11","1311 11","Pamatdarbības struktūrvienības VADĪTĀJS/ DIREKTORS (medību saimniecības jomā)",0
"hr_profession_1311_12","1311 12","Pamatdarbības struktūrvienības VADĪTĀJA VIETNIEKS/ DIREKTORA VIETNIEKS (medību saimniecības jomā)",0
"hr_profession_1312_01","1312 01","Saimniecības VADĪTĀJS/ DIREKTORS (zivsaimniecības jomā)",0
"hr_profession_1312_02","1312 02","Saimniecības VADĪTĀJA VIETNIEKS/ IZPILDDIREKTORS (zivsaimniecības jomā)",0
"hr_profession_1312_03","1312 03","Pamatdarbības struktūrvienības VADĪTĀJS/ DIREKTORS (zivsaimniecības jomā)",0
"hr_profession_1312_04","1312 04","Pamatdarbības struktūrvienības VADĪTĀJA VIETNIEKS/ DIREKTORA VIETNIEKS (zivsaimniecības jomā)",0
"hr_profession_1321_01","1321 01","VADĪTĀJS/ DIREKTORS (apstrādes rūpniecības jomā)",0
"hr_profession_1321_02","1321 02","VADĪTĀJA VIETNIEKS/ IZPILDDIREKTORS (apstrādes rūpniecības jomā)",0
"hr_profession_1321_03","1321 03","Pamatdarbības struktūrvienības VADĪTĀJS/ DIREKTORS (apstrādes rūpniecības jomā)",0
"hr_profession_1321_04","1321 04","Pamatdarbības struktūrvienības VADĪTĀJA VIETNIEKS/ DIREKTORA VIETNIEKS (apstrādes rūpniecības jomā)",0
"hr_profession_1321_05","1321 05","Pamatdarbības struktūrvienības VADĪTĀJS/ DIREKTORS (enerģētikas jomā)",0
"hr_profession_1321_06","1321 06","Pamatdarbības struktūrvienības VADĪTĀJA VIETNIEKS/ DIREKTORA VIETNIEKS (enerģētikas jomā)",0
"hr_profession_1321_07","1321 07","Ražošanas maiņas VADĪTĀJS",0
